particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,1,new,5,HouseObjects,dishsoap3,0,0,2.92891261260957,4,5.11940288450569,4
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,1,new,5,FruitsAndVegs,broccoli3,1,0,2.71535570314154,5,3.32820598827675,2
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,1,new,5,FruitsAndVegs,brusselssprout3,1,0,2.80190755194053,5,1.9331673681736,2
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,1,new,5,HouseObjects,doormat3,0,0,2.17897715885192,5,9.01361868157983,1
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,1,new,5,HouseObjects,dustpan3,0,0,1.52523683244362,5,0.000100066885352135,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,1,new,5,Instruments,drums3,1,0,1.17469578282908,6,4.0459536681883,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,1,new,5,Instruments,electricdrumset3,1,0,1.87718458706513,5,9.6859410405159e-05,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,1,new,5,HouseObjects,flyswatter3,1,0,2.63789099315181,6,9.78214666247368e-05,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,1,new,5,FruitsAndVegs,cabbage3,1,0,1.84852416161448,6,1.4757971893996,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,1,new,5,Instruments,electricguitar3,0,0,1.47996502788737,4,6.12586736679077e-05,4
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,1,new,5,FruitsAndVegs,carrot3,0,0,1.5244587501511,5,3.59490404371172,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,1,new,5,Instruments,flute3,1,0,2.35326080862433,4,0.000101028475910425,4
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39,1,new,5,FruitsAndVegs,casabamelon3,1,0,1.16142059955746,6,2.19077219022438,4
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,1,new,5,Instruments,flutetrans3,1,0,1.34104145597667,3,9.94252040982246e-05,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,1,new,5,Instruments,frenchhorn3,0,0,3.00734014250338,5,3.20509743178263,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42,1,new,5,Instruments,gong3,1,0,1.23277771752328,6,9.78214666247368e-05,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,1,new,5,Instruments,grandpiano3,1,0,1.22450971370563,6,9.52556729316711e-05,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,1,new,5,Instruments,guitarcase3,0,0,2.18326687347144,5,9.91043634712696e-05,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,1,new,5,Instruments,harmonica3,1,0,1.27300994936377,6,6.15795142948627e-05,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,1,new,5,HouseObjects,garbagebin3,0,0,1.73074094532058,6,6.47865235805511e-05,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,1,new,5,HouseObjects,glass3,1,0,2.46547717833892,NaN,5.35978245781735,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,1,new,5,Instruments,harp3,1,0,1.62417545262724,5,0.00010070763528347,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55,1,new,5,HouseObjects,glassmop3,0,0,2.91476697754115,3,4.46884031454101,1
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,1,new,5,Instruments,hihat3,1,0,1.17995633604005,5,0.000100387260317802,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,1,new,5,HouseObjects,handbrush3,0,0,2.23713061539456,5,2.54247875884175,6
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,1,new,5,FruitsAndVegs,cauliflower3,0,0,2.92257730523124,3,2.8849965184927,2
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,1,new,5,Instruments,keyboard3,0,0,2.23843949940056,3,2.43039067974314,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,1,new,5,Instruments,laud3,1,0,1.41858346061781,4,1.33653428917751,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,1,new,5,FruitsAndVegs,celery3,1,0,1.66640163958073,6,2.10770503338426,4
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,1,new,5,Instruments,maraca3,0,0,1.62919225357473,5,2.93445027340204,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,1,new,5,Instruments,marimba3,0,0,1.3841926176101,2,3.31923655606806,5
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,1,new,5,HouseObjects,handvacuum3,0,0,1.26303022867069,3,1.22927795210853,3
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,1,new,5,FruitsAndVegs,cherry3,0,0,1.90544218057767,5,2.34344209264964,4
