"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","P1","Q2","P2","Q3","P3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
5,2,2,1,1,56,0.0692471195000978,0.14573219983143,0.482323069304806,0.721476114904807,0.0512643258358499,0.132791685263763,0.721476114904807,NA,0,1,0,-0.0772631168178891,0.577602844117906,-0.0571986477450517,30
4,1,1,1,1,57,0.521622824632587,0.743990045039723,0.0571986477450517,0.115235432653937,0.0959111050315666,0.14077452230634,0.743990045039723,NA,1,0,0,0.533753777055983,-0.063819922539088,-0.107013706356064,30
5,2,2,1,1,58,0.0620627766074095,0.114903597882654,0.536031708806316,0.77938085322326,0.0459456859035892,0.105715548894086,0.77938085322326,NA,0,1,0,-0.0692471195000978,0.517676930695194,-0.0512643258358499,30
3,2,1,0,2,59,0.305912982622893,0.349518473140388,0.287619520187631,0.317971221964838,0.296265807376573,0.332510304894774,0.349518473140388,NA,0,0,0,-0.341325251983486,-0.320914151343591,-0.33056132658991,30
6,3,3,1,1,60,0.0571986477450517,0.190991228087279,0.0571986477450517,0.190991228087279,0.388039235327447,0.618017543825443,0.618017543825443,NA,0,0,1,-0.063819922539088,-0.063819922539088,0.682800907679537,30
1,1,1,1,2,61,0.316676908016468,0.288066026922858,0.212927568772426,0.288066026922858,0.287619520187631,0.423867946154284,0.288066026922858,NA,1,0,0,0.762424087260556,-0.237575912739444,-0.320914151343591,30
4,2,1,0,3,62,0.467504801242345,0.796653475170146,0.0512643258358499,0.0925768753667334,0.0859603912583757,0.110769649463121,0.796653475170146,NA,0,0,0,-0.521622824632587,-0.0571986477450517,-0.0959111050315666,30
6,3,2,0,1,63,0.0512643258358499,0.150752839172333,0.0512643258358499,0.150752839172333,0.347780421061461,0.698494321655334,0.150752839172333,NA,0,0,0,-0.0571986477450517,-0.0571986477450517,-0.388039235327447,30
4,1,1,1,1,64,0.522750826264077,0.759930205774547,0.0459456859035892,0.110404867979816,0.0770420574641598,0.129664926245637,0.759930205774547,NA,1,0,0,0.532495198757655,-0.0512643258358499,-0.0859603912583757,30
6,3,3,1,1,65,0.0459456859035892,0.168012285990316,0.0459456859035892,0.168012285990316,0.415447771418362,0.663975428019367,0.663975428019367,NA,0,0,1,-0.0512643258358499,-0.0512643258358499,0.652219578938539,30
1,1,1,1,2,66,0.387571227299955,0.401239282952249,0.190836474205447,0.248074768224251,0.257779185014475,0.350685948823499,0.401239282952249,NA,1,0,0,0.683323091983532,-0.212927568772426,-0.287619520187631,30
1,2,1,0,2,67,0.347360968557583,0.512876063706379,0.171037316102969,0.206079956186272,0.231034764898356,0.281043980107349,0.512876063706379,NA,0,0,0,-0.387571227299955,-0.190836474205447,-0.257779185014475,30
