"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"2455","0.9",271,0,0,"DelayedRec",9,-0.66444442260493,0.82525298422789
"2459","0.5",275,1,1,"DelayedRec",9,0.706924309373194,0.67551200922618
"2460","0.5",276,1,0,"DelayedRec",9,-0.204702559383613,0.6643232356578
"2462","0.9",278,1,0,"ImmediateRec",9,-0.66572489311268,0.820630588668912
"2463","0.1",279,0,1,"DelayedRec",9,0.352422341984374,0.392376795477781
"2465","0.1",281,1,1,"DelayedRec",9,0.340779298659031,0.388442870657999
"2466","0.9",282,1,0,"DelayedRec",9,-0.674672692169396,0.818912985732059
"2471","0.5",287,0,1,"DelayedRec",9,0.843563291571209,0.675358853747015
"2472","0.9",288,0,0,"DelayedRec",9,-0.691892322455743,0.818998734776141
"2474","0.9",290,1,0,"DelayedRec",9,-0.643026812538265,0.810206965468454
"2475","0.5",291,1,0,"ImmediateRec",9,-0.192859561073683,0.672301406227668
"2477","0.1",293,1,1,"DelayedRec",9,0.320031673279032,0.379282380459381
"2481","0.9",297,1,0,"ImmediateRec",9,-0.621783014555468,0.816339385522001
"2482","0.1",298,0,1,"DelayedRec",9,0.398758948070025,0.391577850900406
"2484","0.9",300,1,0,"ImmediateRec",9,-0.688529542407614,0.819813955580034
"2485","0.9",301,1,0,"DelayedRec",9,-0.690541273420343,0.814562572685499
"2486","0.1",302,1,1,"ImmediateRec",9,0.372846426819636,0.383765382285682
"2487","0.1",303,0,1,"DelayedRec",9,0.360528629154717,0.379917794508458
"2488","0.5",304,1,1,"ImmediateRec",9,0.808599610876665,0.677935223396555
"2489","0.5",305,1,0,"DelayedRec",9,-0.186488023410537,0.675364258370002
"2491","0.5",307,1,0,"ImmediateRec",9,-0.218114246846662,0.671910484150693
"2493","0.5",309,1,0,"DelayedRec",9,-0.187298348886485,0.674435451998571
"2494","0.1",310,0,1,"DelayedRec",9,0.323175930056701,0.371231080032224
"2495","0.1",311,1,1,"ImmediateRec",9,0.321294927201597,0.377913814740946
"2498","0.5",2,1,0,"DelayedRec",10,-0.068606289320606,0.680902333326034
"2501","0.1",5,0,1,"ImmediateRec",10,0.149699294388766,0.265611216344888
"2502","0.9",6,1,0,"ImmediateRec",10,-0.8847799431816,0.871392610027041
"2504","0.9",8,0,0,"DelayedRec",10,-0.887777698835732,0.87319854861725
"2506","0.9",10,1,0,"ImmediateRec",10,-0.750395201628366,0.875674585187708
"2507","0.9",11,0,0,"ImmediateRec",10,-0.57756169206342,0.80037764463611
"2510","0.5",14,0,1,"DelayedRec",10,0.931393710679394,0.687079276120106
"2511","0.5",15,0,0,"DelayedRec",10,-0.245880774288434,0.666750458679701
"2513","0.5",17,1,0,"DelayedRec",10,-0.283127975299032,0.690689092513528
"2514","0.1",18,0,1,"DelayedRec",10,0.555464230827578,0.384796056887646
"2515","0.5",19,1,0,"DelayedRec",10,-0.0528046614107025,0.709269888732138
"2517","0.9",21,1,0,"ImmediateRec",10,-0.888048090568532,0.928138487640198
"2518","0.9",22,0,0,"DelayedRec",10,-0.756244776805033,0.907703689766543
"2519","0.5",23,1,0,"DelayedRec",10,-0.217917001773666,0.631298565006691
"2520","0.1",24,1,1,"ImmediateRec",10,0.316490088543416,0.282390392320336
"2522","0.5",26,1,0,"ImmediateRec",10,-0.14566031190742,0.648281647723117
"2527","0.9",31,1,0,"ImmediateRec",10,-0.853329377163422,0.882288655348549
